,src_nm,src_id,drug_raw_name,cas_cas_no,cas_pt,cas_source,cas_match,umls_pt,umls_cui,ind_raw_value,ind_raw_target,ind_raw_match,ind_umls_entry_term_match
0,4,291,Fish Oils,1442,1353,2,0,1568,96,126,152,0,13
1,4,291,Fish Oils,1442,1353,2,0,1568,96,128,154,0,13
2,4,291,Fish Oils,1442,1353,2,0,1568,96,250,304,0,13
3,4,291,Fish Oils,1442,1353,2,0,1568,96,329,376,0,13
4,4,291,Fish Oils,1442,1353,2,0,1568,96,331,378,0,13
5,3,1386,Fibrin Tissue Adhesive,36,1351,2,13,1566,95,179,219,0,21
6,3,1386,Fibrin Tissue Adhesive,36,1351,2,13,1566,95,315,361,0,21
7,3,1386,Fibrin Tissue Adhesive,36,1351,2,13,1566,95,317,363,0,21
8,3,1386,Fibrin Tissue Adhesive,36,1351,2,13,1566,95,672,607,0,13
9,3,1386,Fibrin Tissue Adhesive,36,1351,2,13,1566,95,680,615,0,21
10,0,97,organochlorine insecticide,354,1597,2,13,1762,106,1052,1134,0,21
11,0,97,organochlorine pesticide,354,1597,2,13,1763,1281,1086,1277,0,22
12,3,1305,hydrated silica gel-based toothpaste,120,1374,2,6,1591,1853,192,235,0,13
13,3,1305,hydrated silica gel-based toothpaste,120,1374,2,6,1591,1853,211,255,0,21
14,3,1407,Dietary Sucrose,354,1597,2,13,1436,1253,255,309,0,22
15,3,1407,Dietary Sucrose,354,1597,2,13,1436,1253,259,313,0,13
16,3,1407,Dietary Sucrose,354,1597,2,13,1436,1253,673,608,0,22
17,3,319,thiazolidine-4-carboxylic acid,860,1631,2,0,1870,844,100,125,0,21
18,3,319,thiazolidine-4-carboxylic acid,860,1631,2,0,1870,844,111,136,0,21
19,3,319,thiazolidine-4-carboxylic acid,860,1631,2,0,1870,844,113,138,0,21
20,3,319,thiazolidine-4-carboxylic acid,860,1631,2,0,1870,844,164,201,0,21
21,3,319,thiazolidine-4-carboxylic acid,860,1631,2,0,1870,844,604,534,0,22
22,3,300,"1,5-difluoro-2,4-dinitrobenzene",713,42,2,13,56,152,193,236,0,13
23,3,300,"1,5-difluoro-2,4-dinitrobenzene",713,42,2,13,56,152,476,389,0,13
24,3,555,1-hexylcarbamoyl-5-fluorouracil,1132,889,2,0,110,181,111,136,0,21
25,3,502,"2,3,7,8-tetrachlorodibenzofuran",917,122,2,13,162,218,233,284,0,22
26,3,681,"2,3-naphthalenedicarboxaldehyde",1298,128,2,13,169,224,476,389,0,13
27,3,712,"2,3-piperidinedicarboxylic acid",865,129,2,13,170,225,96,121,0,21
28,3,712,"2,3-piperidinedicarboxylic acid",865,129,2,13,170,225,168,205,0,21
29,3,712,"2,3-piperidinedicarboxylic acid",865,129,2,13,170,225,246,298,0,4
30,3,712,"2,3-piperidinedicarboxylic acid",865,129,2,13,170,225,248,300,0,4
31,3,712,"2,3-piperidinedicarboxylic acid",865,129,2,13,170,225,543,472,0,22
32,3,476,2-amino-4-phosphonobutyric acid,1166,164,2,13,218,252,96,121,0,21
33,3,476,2-amino-4-phosphonobutyric acid,1166,164,2,13,218,252,168,205,0,21
34,3,476,2-amino-4-phosphonobutyric acid,1166,164,2,13,218,252,246,298,0,4
35,3,476,2-amino-4-phosphonobutyric acid,1166,164,2,13,218,252,247,299,0,4
36,3,476,2-amino-4-phosphonobutyric acid,1166,164,2,13,218,252,543,472,0,22
37,3,1252,2-chloro-5-hydroxyphenylglycine,354,1597,2,13,231,1359,246,298,0,4
38,3,1252,2-chloro-5-hydroxyphenylglycine,354,1597,2,13,231,1359,247,299,0,4
39,3,1252,2-chloro-5-hydroxyphenylglycine,354,1597,2,13,231,1359,543,472,0,22
40,3,1008,2'-methyl-2'-deoxyidenecytidine,166,113,2,13,149,207,83,107,0,21
41,3,1008,2'-methyl-2'-deoxyidenecytidine,166,113,2,13,149,207,111,136,0,21
42,3,1008,2'-methyl-2'-deoxyidenecytidine,166,113,2,13,149,207,124,150,0,21
43,3,1008,2'-methyl-2'-deoxyidenecytidine,166,113,2,13,149,207,235,286,0,13
44,3,410,2-nitro-5-thiocyanobenzoic acid,683,199,2,13,265,281,235,286,0,13
45,3,410,2-nitro-5-thiocyanobenzoic acid,683,199,2,13,265,281,476,389,0,13
46,3,612,"3,4,5,3',4'-pentachlorobiphenyl",1042,226,2,13,299,309,241,293,0,22
47,3,612,"3,4,5,3',4'-pentachlorobiphenyl",1042,226,2,13,299,309,242,294,0,22
48,3,612,"3,4,5,3',4'-pentachlorobiphenyl",1042,226,2,13,299,309,323,370,0,22
49,3,612,"3,4,5,3',4'-pentachlorobiphenyl",1042,226,2,13,299,309,325,372,0,22
50,3,985,4-des-dimethylaminotetracycline,614,330,2,13,443,383,235,286,0,13
51,3,985,4-des-dimethylaminotetracycline,614,330,2,13,443,383,603,533,0,22
52,3,731,5-(2-iodovinyl)-2'-deoxyuridine,1578,376,2,13,500,422,83,107,0,21
53,3,731,5-(2-iodovinyl)-2'-deoxyuridine,1578,376,2,13,500,422,124,150,0,21
54,3,563,5-hydroxymethyl-2'-deoxyuridine,915,391,2,13,525,432,111,136,0,21
55,3,906,6-methoxy-2-naphthylacetic acid,603,421,2,13,558,450,235,286,0,13
56,3,777,acetyl tert-butyl dimethylindan,254,1663,0,13,652,1257,192,235,0,13
57,3,777,acetyl tert-butyl dimethylindan,254,1663,0,13,652,1257,580,508,0,13
58,3,1064,acetylleucyl-leucyl-norleucinal,89,503,2,13,656,866,196,239,0,22
59,3,1064,acetylleucyl-leucyl-norleucinal,89,503,2,13,656,866,235,286,0,13
60,3,1064,acetylleucyl-leucyl-norleucinal,89,503,2,13,656,866,603,533,0,22
61,3,602,"bis(3,5-dibromosalicyl)fumarate",1293,762,2,13,960,564,193,236,0,13
62,3,602,"bis(3,5-dibromosalicyl)fumarate",1293,762,2,13,960,564,476,389,0,13
63,3,590,hydrochlorothiazide-triamterene,333,1376,2,0,1592,1493,104,129,0,21
64,3,590,hydrochlorothiazide-triamterene,333,1376,2,0,1592,1493,164,201,0,21
65,3,592,pyrrolidine dithiocarbamic acid,631,1564,2,13,1805,817,113,138,0,21
66,3,592,pyrrolidine dithiocarbamic acid,631,1564,2,13,1805,817,604,534,0,22
67,3,1424,S-Nitroso-N-Acetylpenicillamine,1415,1577,2,13,1822,823,164,201,0,21
68,3,1424,S-Nitroso-N-Acetylpenicillamine,1415,1577,2,13,1822,823,235,286,0,13
69,3,1424,S-Nitroso-N-Acetylpenicillamine,1415,1577,2,13,1822,823,547,476,0,22
70,3,1424,S-Nitroso-N-Acetylpenicillamine,1415,1577,2,13,1822,823,777,644,0,22
71,3,1053,1-(carboxymethylthio)tetradecane,665,73,2,13,95,171,113,138,0,21
72,3,1053,1-(carboxymethylthio)tetradecane,665,73,2,13,95,171,274,316,0,22
73,3,1053,1-(carboxymethylthio)tetradecane,665,73,2,13,95,171,604,534,0,22
74,3,673,1-anilino-8-naphthalenesulfonate,1489,78,2,13,100,175,180,221,0,13
75,3,673,1-anilino-8-naphthalenesulfonate,1489,78,2,13,100,175,256,310,0,13
76,3,673,1-anilino-8-naphthalenesulfonate,1489,78,2,13,100,175,476,389,0,13
77,3,673,1-anilino-8-naphthalenesulfonate,1489,78,2,13,100,175,497,417,0,13
78,0,97,"1-O-acetyl-4R,6S-britannilactone",354,1597,2,13,119,1643,1074,1234,0,22
79,3,1241,2-(2-benzofuranyl)-2-imidazoline,1311,149,2,13,195,1302,50,74,0,13
80,3,1241,2-(2-benzofuranyl)-2-imidazoline,1311,149,2,13,195,1302,476,389,0,13
81,0,97,2-(methyldithio)pyridine-N-oxide,354,1597,2,13,207,1847,868,780,0,21
82,3,322,"2,5-dimethoxy-4-bromoamphetamine",1191,794,2,0,183,235,168,205,0,21
83,3,322,"2,5-dimethoxy-4-bromoamphetamine",1191,794,2,0,183,235,310,356,0,22
84,3,322,"2,5-dimethoxy-4-bromoamphetamine",1191,794,2,0,183,235,543,472,0,22
85,3,322,"2,5-dimethoxy-4-bromoamphetamine",1191,794,2,0,183,235,611,542,0,21
86,3,322,"2,5-dimethoxy-4-bromoamphetamine",1191,794,2,0,183,235,658,585,0,22
87,3,322,"2,5-dimethoxy-4-bromoamphetamine",1191,794,2,0,183,235,660,587,0,22
88,3,814,"3,3'-dihexadecylindocarbocyanine",354,1597,2,13,290,303,180,221,0,13
89,3,814,"3,3'-dihexadecylindocarbocyanine",354,1597,2,13,290,303,256,310,0,13
90,3,814,"3,3'-dihexadecylindocarbocyanine",354,1597,2,13,290,303,476,389,0,13
91,3,814,"3,3'-dihexadecylindocarbocyanine",354,1597,2,13,290,303,497,417,0,13
92,3,629,"3,3'-dioctadecylindocarbocyanine",826,219,2,13,293,304,50,74,0,13
93,3,629,"3,3'-dioctadecylindocarbocyanine",826,219,2,13,293,304,180,221,0,13
94,3,629,"3,3'-dioctadecylindocarbocyanine",826,219,2,13,293,304,256,310,0,13
95,3,629,"3,3'-dioctadecylindocarbocyanine",826,219,2,13,293,304,476,389,0,13
96,3,629,"3,3'-dioctadecylindocarbocyanine",826,219,2,13,293,304,497,417,0,13
97,3,1020,"3,7-dimethyl-1-propargylxanthine",332,241,2,13,316,1059,39,63,0,4
98,3,1020,"3,7-dimethyl-1-propargylxanthine",332,241,2,13,316,1059,543,472,0,22
99,3,1020,"3,7-dimethyl-1-propargylxanthine",332,241,2,13,316,1059,612,543,0,22
100,3,1020,"3,7-dimethyl-1-propargylxanthine",332,241,2,13,316,1059,613,544,0,22
101,3,1020,"3,7-dimethyl-1-propargylxanthine",332,241,2,13,316,1059,615,546,0,4
102,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,94,119,0,21
103,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,83,107,0,21
104,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,106,131,0,22
105,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,114,139,0,21
106,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,117,142,0,21
107,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,337,384,0,21
108,3,328,"4-aminopyrazolo(3,4-d)pyrimidine",598,318,2,13,429,373,492,411,0,22
109,3,1134,4-carboxy-3-hydroxyphenylglycine,284,324,2,13,437,1091,168,205,0,21
110,3,1134,4-carboxy-3-hydroxyphenylglycine,284,324,2,13,437,1091,541,470,0,22
111,3,1134,4-carboxy-3-hydroxyphenylglycine,284,324,2,13,437,1091,604,534,0,22
112,3,314,4-hydroxymercuribenzenesulfonate,483,337,2,13,453,391,549,478,0,21
113,3,314,4-hydroxymercuribenzenesulfonate,483,337,2,13,453,391,568,495,0,22
114,3,812,4-methylumbelliferyl glucuronide,1136,349,2,13,468,403,180,221,0,13
115,3,812,4-methylumbelliferyl glucuronide,1136,349,2,13,468,403,256,310,0,13
116,3,812,4-methylumbelliferyl glucuronide,1136,349,2,13,468,403,476,389,0,13
117,3,812,4-methylumbelliferyl glucuronide,1136,349,2,13,468,403,497,417,0,13
118,3,1313,"5-imino-1,2,4-thiadiazole VP1.14",354,1597,2,13,528,1889,168,205,0,21
119,3,1313,"5-imino-1,2,4-thiadiazole VP1.14",354,1597,2,13,528,1889,541,470,0,22
120,3,1313,"5-imino-1,2,4-thiadiazole VP1.14",354,1597,2,13,528,1889,604,534,0,22
121,3,1383,"9,10-Dimethyl-1,2-benzanthracene",1031,432,2,0,619,3,161,198,0,21
122,3,1383,"9,10-Dimethyl-1,2-benzanthracene",1031,432,2,0,619,3,549,478,0,21
123,3,458,"androsta-1,4,6-triene-3,17-dione",1167,622,2,13,794,530,235,286,0,13
124,3,1255,aspartyl-glutamyl-valyl-aspartal,354,1597,2,13,830,1361,196,239,0,22
125,3,1255,aspartyl-glutamyl-valyl-aspartal,354,1597,2,13,830,1361,235,286,0,13
126,3,1255,aspartyl-glutamyl-valyl-aspartal,354,1597,2,13,830,1361,603,533,0,22
127,3,390,dimethyl dithiobispropionimidate,1084,1249,2,13,1466,657,193,236,0,13
128,3,390,dimethyl dithiobispropionimidate,1084,1249,2,13,1466,657,476,389,0,13
129,6,97,indium In 111 capromab pendetide,354,1597,2,13,1605,1851,1138,1330,0,14
130,0,97,"methyl 3,5-di-O-caffeoyl quinate",354,1597,2,13,1633,1679,1034,1087,0,21
131,3,511,methyl(acetoxymethyl)nitrosamine,1027,1428,2,13,1647,713,161,198,0,21
132,3,511,methyl(acetoxymethyl)nitrosamine,1027,1428,2,13,1647,713,549,478,0,21
133,3,337,"N,N'-diphenyl-4-phenylenediamine",1331,1716,2,0,1669,730,113,138,0,21
134,3,337,"N,N'-diphenyl-4-phenylenediamine",1331,1716,2,0,1669,730,604,534,0,22
135,3,500,"N-nitroso-2,6-dimethylmorpholine",362,1492,2,13,1738,774,161,198,0,21
136,3,500,"N-nitroso-2,6-dimethylmorpholine",362,1492,2,13,1738,774,549,478,0,21
137,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,69,93,0,22
138,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,70,94,0,22
139,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,83,107,0,21
140,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,111,136,0,21
141,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,214,259,0,21
142,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,235,286,0,13
143,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,302,342,0,22
144,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,303,343,0,22
145,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,590,518,0,22
146,3,593,tetra(4-N-methylpyridyl)porphine,809,1626,2,13,1868,842,623,554,0,22
147,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,83,107,0,21
148,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,111,136,0,21
149,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,113,138,0,21
150,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,124,150,0,21
151,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,235,286,0,13
152,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,588,516,0,22
153,3,929,tricyclodecane-9-yl-xanthogenate,1505,1636,2,13,1879,1048,604,534,0,22
154,3,815,(alpha-carboxycyclopropyl)glycine,574,7,2,13,13,128,246,298,0,4
155,3,815,(alpha-carboxycyclopropyl)glycine,574,7,2,13,13,128,247,299,0,4
156,3,815,(alpha-carboxycyclopropyl)glycine,574,7,2,13,13,128,543,472,0,22
157,3,785,"10,10'-dimethyl-9,9'-biacridinium",587,96,2,0,123,190,476,389,0,13
158,3,785,"10,10'-dimethyl-9,9'-biacridinium",587,96,2,0,123,190,497,417,0,13
159,3,828,"1-amino-1,3-dicarboxycyclopentane",111,75,2,13,97,173,168,205,0,21
160,3,828,"1-amino-1,3-dicarboxycyclopentane",111,75,2,13,97,173,541,470,0,22
161,3,828,"1-amino-1,3-dicarboxycyclopentane",111,75,2,13,97,173,604,534,0,22
162,3,1381,"2,4,5-Trichlorophenoxyacetic Acid",1669,130,2,0,171,1,318,364,0,22
163,3,1381,"2,4,5-Trichlorophenoxyacetic Acid",1669,130,2,0,171,1,583,511,0,22
164,3,262,2-amino-3-phosphonopropionic acid,1023,162,2,13,216,251,246,298,0,4
165,3,262,2-amino-3-phosphonopropionic acid,1023,162,2,13,216,251,248,300,0,4
166,3,262,2-amino-3-phosphonopropionic acid,1023,162,2,13,216,251,543,472,0,22
167,3,751,2-amino-7-phosphonoheptanoic acid,1550,165,2,13,220,253,96,121,0,21
168,3,751,2-amino-7-phosphonoheptanoic acid,1550,165,2,13,220,253,168,205,0,21
169,3,751,2-amino-7-phosphonoheptanoic acid,1550,165,2,13,220,253,246,298,0,4
170,3,751,2-amino-7-phosphonoheptanoic acid,1550,165,2,13,220,253,248,300,0,4
171,3,751,2-amino-7-phosphonoheptanoic acid,1550,165,2,13,220,253,543,472,0,22
172,3,1127,3-(1-deoxyribofuranosyl)benzamide,317,245,2,13,322,1356,111,136,0,21
